Function,Category,Subcategory,Implementation Examples,Informative References,Exportable From SIEM,API,Difficulty,Comments,Linked Query,Vendor,Query Version,Dashboard Name,Pretty Print Queries,API Queries
IDENTIFY (ID): The organization's current cybersecurity risks are understood,"Asset Management (ID.AM): Assets (e.g., data, hardware, software, systems, facilities, services, people) that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization's risk strategy",ID.AM-01: Inventories of hardware managed by the organization are maintained,"Ex1: Maintain inventories for all types of hardware, including IT, IoT, OT, and mobile devices","CCMv4.0: CCC-04
CCMv4.0: DCS-06
CCMv4.0: DSP-19
CCMv4.0: UEM-04
CIS Controls v8.0: 1.1
CRI Profile v2.0: ID.AM-01
CRI Profile v2.0: ID.AM-01.01
CSF v1.1: ID.AM-1
SP 800-221A: MA.RI-1
SP 800-53 Rev 5.1.1: CM-08
SP 800-53 Rev 5.1.1: PM-05",Yes,UDM Search with YL2,Done,This search will pull all hostnames SecOps has seen from all hostname fields and log source types.,FALSE,Agnostic,1.0,,"$hostname = group($e.principal.hostname,$e.target.hostname,$e.src.hostname,$e.intermediary.hostname,$e.observer.hostname,$e.principal.asset.hostname,$e.src.asset.hostname,$e.target.asset.hostname)
$hostname = /.*/
match:
    $hostname
outcome:
	$logsSeen = array_distinct($e.metadata.log_type)
order:
	$hostname",
IDENTIFY (ID): The organization's current cybersecurity risks are understood,"Asset Management (ID.AM): Assets (e.g., data, hardware, software, systems, facilities, services, people) that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization's risk strategy",ID.AM-01: Inventories of hardware managed by the organization are maintained,Ex2: Constantly monitor networks to detect new hardware and automatically update inventories,"CCMv4.0: CCC-04
CCMv4.0: DCS-06
CCMv4.0: DSP-19
CCMv4.0: UEM-04
CIS Controls v8.0: 1.1
CRI Profile v2.0: ID.AM-01
CRI Profile v2.0: ID.AM-01.01
CSF v1.1: ID.AM-1
SP 800-221A: MA.RI-1
SP 800-53 Rev 5.1.1: CM-08
SP 800-53 Rev 5.1.1: PM-05",Yes,Dashboard Export API,Done,"In Google SecOps some parsers append specific metadata to declare the type of entity that was involved in the event.  The UDM for it is ""metadata.entity_type"".  However, as of Q3 2024 UDM Search will not search with the metadata.entity_type keyword.  However, it is possible to retrieve this data via the Dashboarding functionality in SecOps.  To retrieve this data, a dashboard must first be created.  Afterwards, the dashboard may be exported via API.  UDM fields expected to use are the following:   principal.asset.hostname, metadata.log_type, and some sort of first seen date that will populate without showing 1970-01-01.

Dashboard Name:  R2 ID.AM-01 Ex2 - Detect New Hardware",FALSE,Agnostic,1.0,R2 ID.AM-01 Ex2 - Detect New Hardware,,
IDENTIFY (ID): The organization's current cybersecurity risks are understood,"Asset Management (ID.AM): Assets (e.g., data, hardware, software, systems, facilities, services, people) that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization's risk strategy","ID.AM-02: Inventories of software, services, and systems managed by the organization are maintained","Ex1: Maintain inventories for all types of software and services, including commercial-off-the-shelf, open-source, custom applications, API services, and cloud-based applications and services","CCMv4.0: CCC-04
CCMv4.0: DCS-06
CCMv4.0: DSP-19
CCMv4.0: UEM-02
CCMv4.0: UEM-04
CIS Controls v8.0: 2.1
CRI Profile v2.0: ID.AM-02
CRI Profile v2.0: ID.AM-02.01
CSF v1.1: ID.AM-2
SP 800-221A: MA.RI-1
SP 800-53 Rev 5.1.1: AC-20
SP 800-53 Rev 5.1.1: CM-08
SP 800-53 Rev 5.1.1: PM-05
SP 800-53 Rev 5.1.1: SA-05
SP 800-53 Rev 5.1.1: SA-09",Partial,UDM Search with YL2,Unverified,"All log data sources can be pulled for applications, hosts, and cloud technologies sending logs.  Software names should be able to be ingested if there is a parser as the field about.asset.software.name exists.

Note:  The following query is syntatically correct, but there was no data source that correctly parses to the about.asset.software.name UDM field.",FALSE,Agnostic,Alpha,,"$software = $e.about.asset.software.name
$software = /.*/

match:
    $software

outcome:
    $softwareVendor = array_distinct($e.about.asset.software.vendor_name)
    $softwareVersion = array_distinct($e.about.asset.software.version)
    $softwareDescription = array_distinct($e.about.asset.software.description)

order:
    $software",
IDENTIFY (ID): The organization's current cybersecurity risks are understood,"Asset Management (ID.AM): Assets (e.g., data, hardware, software, systems, facilities, services, people) that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization's risk strategy","ID.AM-02: Inventories of software, services, and systems managed by the organization are maintained","Ex2: Constantly monitor all platforms, including containers and virtual machines, for software and service inventory changes","CCMv4.0: CCC-04
CCMv4.0: DCS-06
CCMv4.0: DSP-19
CCMv4.0: UEM-02
CCMv4.0: UEM-04
CIS Controls v8.0: 2.1
CRI Profile v2.0: ID.AM-02
CRI Profile v2.0: ID.AM-02.01
CSF v1.1: ID.AM-2
SP 800-221A: MA.RI-1
SP 800-53 Rev 5.1.1: AC-20
SP 800-53 Rev 5.1.1: CM-08
SP 800-53 Rev 5.1.1: PM-05
SP 800-53 Rev 5.1.1: SA-05
SP 800-53 Rev 5.1.1: SA-09",No,None,,A software inventory update function would need to be configured to operate with SecOps.  This would require further research,FALSE,,,,,
IDENTIFY (ID): The organization's current cybersecurity risks are understood,"Asset Management (ID.AM): Assets (e.g., data, hardware, software, systems, facilities, services, people) that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization's risk strategy","ID.AM-02: Inventories of software, services, and systems managed by the organization are maintained",Ex3: Maintain an inventory of the organization's systems,"CCMv4.0: CCC-04
CCMv4.0: DCS-06
CCMv4.0: DSP-19
CCMv4.0: UEM-02
CCMv4.0: UEM-04
CIS Controls v8.0: 2.1
CRI Profile v2.0: ID.AM-02
CRI Profile v2.0: ID.AM-02.01
CSF v1.1: ID.AM-2
SP 800-221A: MA.RI-1
SP 800-53 Rev 5.1.1: AC-20
SP 800-53 Rev 5.1.1: CM-08
SP 800-53 Rev 5.1.1: PM-05
SP 800-53 Rev 5.1.1: SA-05
SP 800-53 Rev 5.1.1: SA-09",Yes,UDM Search with YL2,Done,This query pulls the same information that is contained in ID.AM-01 Ex1,ID.AM-01 Ex1,Agnostic,1.0,,"$hostname = group($e.principal.hostname,$e.target.hostname,$e.src.hostname,$e.intermediary.hostname,$e.observer.hostname,$e.principal.asset.hostname,$e.src.asset.hostname,$e.target.asset.hostname)
$hostname = /.*/
match:
    $hostname
outcome:
	$logsSeen = array_distinct($e.metadata.log_type)
order:
	$hostname",
IDENTIFY (ID): The organization's current cybersecurity risks are understood,"Asset Management (ID.AM): Assets (e.g., data, hardware, software, systems, facilities, services, people) that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization's risk strategy","ID.AM-05: Assets are prioritized based on classification, criticality, resources, and impact on the mission",Ex1: Define criteria for prioritizing each class of assets,"CCMv4.0: CEK-04
CCMv4.0: DCS-05
CCMv4.0: DSP-04
CIS Controls v8.0: 3.7
CRI Profile v2.0: ID.AM-05
CRI Profile v2.0: ID.AM-05.01
CRI Profile v2.0: ID.AM-05.02
CSF v1.1: ID.AM-5
SP 800-221A: MA.RI-1
SP 800-53 Rev 5.1.1: RA-03
SP 800-53 Rev 5.1.1: RA-09
SP 800-53 Rev 5.1.1: RA-02",No,None,,"This would require a policy, and cannot be done programmatically.",FALSE,,,,,
IDENTIFY (ID): The organization's current cybersecurity risks are understood,"Asset Management (ID.AM): Assets (e.g., data, hardware, software, systems, facilities, services, people) that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization's risk strategy","ID.AM-05: Assets are prioritized based on classification, criticality, resources, and impact on the mission",Ex2: Apply the prioritization criteria to assets,"CCMv4.0: CEK-04
CCMv4.0: DCS-05
CCMv4.0: DSP-04
CIS Controls v8.0: 3.7
CRI Profile v2.0: ID.AM-05
CRI Profile v2.0: ID.AM-05.01
CRI Profile v2.0: ID.AM-05.02
CSF v1.1: ID.AM-5
SP 800-221A: MA.RI-1
SP 800-53 Rev 5.1.1: RA-03
SP 800-53 Rev 5.1.1: RA-09
SP 800-53 Rev 5.1.1: RA-02",No,Requires SecOps ingesting custom labeling.,,"This could be done as a custom label when ingesting data from a source uploading asset data (for example, Cybriant Axonius Asset Uploader, or the Active Directory Powershell scripts that upload asset data).",FALSE,,,,,
IDENTIFY (ID): The organization's current cybersecurity risks are understood,"Asset Management (ID.AM): Assets (e.g., data, hardware, software, systems, facilities, services, people) that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization's risk strategy","ID.AM-05: Assets are prioritized based on classification, criticality, resources, and impact on the mission",Ex3: Track the asset priorities and update them periodically or when significant changes to the organization occur,"CCMv4.0: CEK-04
CCMv4.0: DCS-05
CCMv4.0: DSP-04
CIS Controls v8.0: 3.7
CRI Profile v2.0: ID.AM-05
CRI Profile v2.0: ID.AM-05.01
CRI Profile v2.0: ID.AM-05.02
CSF v1.1: ID.AM-5
SP 800-221A: MA.RI-1
SP 800-53 Rev 5.1.1: RA-03
SP 800-53 Rev 5.1.1: RA-09
SP 800-53 Rev 5.1.1: RA-02",No,Requires SecOps ingesting custom labeling.,,"This could be done as a custom label when ingesting data from a source uploading asset data (for example, Cybriant Axonius Asset Uploader, or the Active Directory Powershell scripts that upload asset data).",FALSE,,,,,
IDENTIFY (ID): The organization's current cybersecurity risks are understood,"Asset Management (ID.AM): Assets (e.g., data, hardware, software, systems, facilities, services, people) that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization's risk strategy",ID.AM-07: Inventories of data and corresponding metadata for designated data types are maintained,"Ex1: Maintain a list of the designated data types of interest (e.g., personally identifiable information, protected health information, financial account numbers, organization intellectual property, operational technology data)","CCMv4.0: DSP-01
CCMv4.0: DSP-03
CCMv4.0: DSP-04
CCMv4.0: DSP-06
CCMv4.0: DSP-10
CCMv4.0: DSP-19
CCMv4.0: UEM-02
CIS Controls v8.0: 3.2
CRI Profile v2.0: ID.AM-07
CRI Profile v2.0: ID.AM-07.01
SP 800-221A: MA.RI-1
SP 800-53 Rev 5.1.1: CM-12
SP 800-53 Rev 5.1.1: CM-13
SP 800-53 Rev 5.1.1: SI-12",No,Requires SecOps ingesting custom labeling.,,"This could be accomplished via custom labels, and extending the ingested logs from the log source with the appropriate data source type (PII, protected health information, financial account numbers, etc)",FALSE,,,,,
IDENTIFY (ID): The organization's current cybersecurity risks are understood,"Asset Management (ID.AM): Assets (e.g., data, hardware, software, systems, facilities, services, people) that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization's risk strategy",ID.AM-07: Inventories of data and corresponding metadata for designated data types are maintained,Ex2: Continuously discover and analyze ad hoc data to identify new instances of designated data types,"CCMv4.0: DSP-01
CCMv4.0: DSP-03
CCMv4.0: DSP-04
CCMv4.0: DSP-06
CCMv4.0: DSP-10
CCMv4.0: DSP-19
CCMv4.0: UEM-02
CIS Controls v8.0: 3.2
CRI Profile v2.0: ID.AM-07
CRI Profile v2.0: ID.AM-07.01
SP 800-221A: MA.RI-1
SP 800-53 Rev 5.1.1: CM-12
SP 800-53 Rev 5.1.1: CM-13
SP 800-53 Rev 5.1.1: SI-12",No,Requires SecOps ingesting custom labeling.,,This would require a custom query based on the specific data source.,FALSE,,,,,
IDENTIFY (ID): The organization's current cybersecurity risks are understood,"Asset Management (ID.AM): Assets (e.g., data, hardware, software, systems, facilities, services, people) that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization's risk strategy",ID.AM-07: Inventories of data and corresponding metadata for designated data types are maintained,Ex3: Assign data classifications to designated data types through tags or labels,"CCMv4.0: DSP-01
CCMv4.0: DSP-03
CCMv4.0: DSP-04
CCMv4.0: DSP-06
CCMv4.0: DSP-10
CCMv4.0: DSP-19
CCMv4.0: UEM-02
CIS Controls v8.0: 3.2
CRI Profile v2.0: ID.AM-07
CRI Profile v2.0: ID.AM-07.01
SP 800-221A: MA.RI-1
SP 800-53 Rev 5.1.1: CM-12
SP 800-53 Rev 5.1.1: CM-13
SP 800-53 Rev 5.1.1: SI-12",No,None,,"This would be handled via organizational policy, or by a DLP technology to auto-label based specific requirements.",FALSE,,,,,
IDENTIFY (ID): The organization's current cybersecurity risks are understood,"Asset Management (ID.AM): Assets (e.g., data, hardware, software, systems, facilities, services, people) that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization's risk strategy",ID.AM-07: Inventories of data and corresponding metadata for designated data types are maintained,"Ex4: Track the provenance, data owner, and geolocation of each instance of designated data types","CCMv4.0: DSP-01
CCMv4.0: DSP-03
CCMv4.0: DSP-04
CCMv4.0: DSP-06
CCMv4.0: DSP-10
CCMv4.0: DSP-19
CCMv4.0: UEM-02
CIS Controls v8.0: 3.2
CRI Profile v2.0: ID.AM-07
CRI Profile v2.0: ID.AM-07.01
SP 800-221A: MA.RI-1
SP 800-53 Rev 5.1.1: CM-12
SP 800-53 Rev 5.1.1: CM-13
SP 800-53 Rev 5.1.1: SI-12",Yes,UDM Search with YL2,Custom,"This need to be based on specific data log sources.  For example, some Azure Active Directory logs will provide this information.",FALSE,CustomRequired,None,,,
IDENTIFY (ID): The organization's current cybersecurity risks are understood,"Risk Assessment (ID.RA): The cybersecurity risk to the organization, assets, and individuals is understood by the organization","ID.RA-01: Vulnerabilities in assets are identified, validated, and recorded",Ex1: Use vulnerability management technologies to identify unpatched and misconfigured software,"CCMv4.0: AIS-05
CCMv4.0: AIS-07
CCMv4.0: TVM-01
CCMv4.0: TVM-03
CCMv4.0: TVM-05
CCMv4.0: TVM-06
CCMv4.0: TVM-07
CCMv4.0: TVM-08
CCMv4.0: TVM-09
CCMv4.0: TVM-10
CIS Controls v8.0: 7.1
CRI Profile v2.0: ID.RA-01
CRI Profile v2.0: ID.RA-01.01
CRI Profile v2.0: ID.RA-01.02
CRI Profile v2.0: ID.RA-01.03
CSF v1.1: ID.RA-1
CSF v1.1: PR.IP-12
CSF v1.1: DE.CM-8
SP 800-218: PO.5.2
SP 800-221A: MA.RI-3
SP 800-53 Rev 5.1.1: CA-02
SP 800-53 Rev 5.1.1: CA-07
SP 800-53 Rev 5.1.1: CA-08
SP 800-53 Rev 5.1.1: RA-03
SP 800-53 Rev 5.1.1: RA-05
SP 800-53 Rev 5.1.1: SA-11(02)
SP 800-53 Rev 5.1.1: SA-15(07)
SP 800-53 Rev 5.1.1: SA-15(08)
SP 800-53 Rev 5.1.1: SI-04
SP 800-53 Rev 5.1.1: SI-05",Yes,UDM Search with YL2,Unverified,This requires a vulnerability scanning technology that can upload vulnerability results to SecOps.  For example:  Tenable.io or Qualys.,FALSE,Agnostic,Alpha,,"$vulnerability = $e.about.asset.vulnerabilities.name 
$vulnerability = /.*/

match:
    $vulnerability

outcome: 
    $hostname = array_distinct($e.about.asset.hostname)
    $vendor = array_distinct($e.about.asset.vulnerabilities.vendor)
    $severity = array_distinct($e.about.asset.vulnerabilities.severity)
    $lastScan = timestamp.get_date(max($e.about.asset.vulnerabilities.last_found.seconds))

order:
    $hostname",
IDENTIFY (ID): The organization's current cybersecurity risks are understood,"Risk Assessment (ID.RA): The cybersecurity risk to the organization, assets, and individuals is understood by the organization","ID.RA-01: Vulnerabilities in assets are identified, validated, and recorded",Ex2: Assess network and system architectures for design and implementation weaknesses that affect cybersecurity,"CCMv4.0: AIS-05
CCMv4.0: AIS-07
CCMv4.0: TVM-01
CCMv4.0: TVM-03
CCMv4.0: TVM-05
CCMv4.0: TVM-06
CCMv4.0: TVM-07
CCMv4.0: TVM-08
CCMv4.0: TVM-09
CCMv4.0: TVM-10
CIS Controls v8.0: 7.1
CRI Profile v2.0: ID.RA-01
CRI Profile v2.0: ID.RA-01.01
CRI Profile v2.0: ID.RA-01.02
CRI Profile v2.0: ID.RA-01.03
CSF v1.1: ID.RA-1
CSF v1.1: PR.IP-12
CSF v1.1: DE.CM-8
SP 800-218: PO.5.2
SP 800-221A: MA.RI-3
SP 800-53 Rev 5.1.1: CA-02
SP 800-53 Rev 5.1.1: CA-07
SP 800-53 Rev 5.1.1: CA-08
SP 800-53 Rev 5.1.1: RA-03
SP 800-53 Rev 5.1.1: RA-05
SP 800-53 Rev 5.1.1: SA-11(02)
SP 800-53 Rev 5.1.1: SA-15(07)
SP 800-53 Rev 5.1.1: SA-15(08)
SP 800-53 Rev 5.1.1: SI-04
SP 800-53 Rev 5.1.1: SI-05",No,None,,"This would be handled via organizational policy, diagrams, and review of related information.",FALSE,,,,,
IDENTIFY (ID): The organization's current cybersecurity risks are understood,"Risk Assessment (ID.RA): The cybersecurity risk to the organization, assets, and individuals is understood by the organization","ID.RA-01: Vulnerabilities in assets are identified, validated, and recorded","Ex3: Review, analyze, or test organization-developed software to identify design, coding, and default configuration vulnerabilities","CCMv4.0: AIS-05
CCMv4.0: AIS-07
CCMv4.0: TVM-01
CCMv4.0: TVM-03
CCMv4.0: TVM-05
CCMv4.0: TVM-06
CCMv4.0: TVM-07
CCMv4.0: TVM-08
CCMv4.0: TVM-09
CCMv4.0: TVM-10
CIS Controls v8.0: 7.1
CRI Profile v2.0: ID.RA-01
CRI Profile v2.0: ID.RA-01.01
CRI Profile v2.0: ID.RA-01.02
CRI Profile v2.0: ID.RA-01.03
CSF v1.1: ID.RA-1
CSF v1.1: PR.IP-12
CSF v1.1: DE.CM-8
SP 800-218: PO.5.2
SP 800-221A: MA.RI-3
SP 800-53 Rev 5.1.1: CA-02
SP 800-53 Rev 5.1.1: CA-07
SP 800-53 Rev 5.1.1: CA-08
SP 800-53 Rev 5.1.1: RA-03
SP 800-53 Rev 5.1.1: RA-05
SP 800-53 Rev 5.1.1: SA-11(02)
SP 800-53 Rev 5.1.1: SA-15(07)
SP 800-53 Rev 5.1.1: SA-15(08)
SP 800-53 Rev 5.1.1: SI-04
SP 800-53 Rev 5.1.1: SI-05",No,None,,"This would be handled via organizational policy, source code, and review of related information.",FALSE,,,,,
